file,width,height
waldo_01.png,1949,1419
waldo_02.png,1590,981
waldo_03.png,1600,1006
waldo_04.png,1455,931
waldo_05.png,1700,2340
waldo_06.png,1276,1754
waldo_07.png,2800,1760
waldo_08.png,1298,951
waldo_09.png,1456,931
waldo_10.png,1458,936
waldo_11.png,1455,927
waldo_12.jpg,1457,931
waldo_13.png,1464,943
waldo_14.png,2048,1454
waldo_15.png,1466,951
waldo_16.png,1476,931
waldo_17.png,1286,946
waldo_18.png,1501,936
waldo_19.png,2048,1272
waldo_20.png,1456,931
waldo_21.png,1458,931
waldo_22.png,1458,930
waldo_23.png,1457,931
waldo_24.png,2048,1346
waldo_25.png,1464,933
waldo_26.png,1410,913
waldo_27.png,1400,888
waldo_28.png,1464,931
waldo_29.png,2048,1251
waldo_30.png,1456,940
waldo_31.png,1456,930
waldo_32.png,1456,934
waldo_33.png,1459,930
waldo_34.png,1456,934
waldo_35.png,1457,934
waldo_36.png,1464,892
waldo_37.png,1459,928
waldo_38.png,1457,934
waldo_39.png,1457,931
waldo_40.png,1467,946
