file,x_ratio,y_ratio,reaction_time_sec
waldo_01.png,0.584977,0.444792,3.181
waldo_02.png,0.38737,0.460401,0.643
waldo_03.png,0.503932,0.471875,0.32
waldo_04.png,0.504,0.471875,0.184
waldo_05.png,0.509326,0.471875,0.11
waldo_06.png,0.508596,0.471875,0.133
waldo_07.png,0.504257,0.472367,0.124
waldo_08.png,0.50458,0.471875,0.207
waldo_09.png,0.50433,0.471875,0.187
waldo_10.png,0.504348,0.472367,0.272
waldo_11.png,0.503984,0.472367,0.579
waldo_12.jpg,0.503995,0.471875,0.618
waldo_13.png,0.504027,0.472367,0.311
waldo_14.png,0.504438,0.471875,0.127
waldo_15.png,0.504395,0.471875,0.136
waldo_16.png,0.504274,0.471875,0.107
waldo_17.png,0.504981,0.471875,0.111
waldo_18.png,0.503906,0.472309,0.109
waldo_19.png,0.503906,0.471698,0.06
waldo_20.png,0.50433,0.471875,0.101
waldo_21.png,0.504325,0.471875,0.118
waldo_22.png,0.504319,0.471875,0.124
waldo_23.png,0.503995,0.471875,0.112
waldo_24.png,0.50411,0.471875,0.068
waldo_25.png,0.503984,0.472367,0.105
waldo_26.png,0.504049,0.471875,1.958
waldo_27.png,0.504296,0.471875,0.076
waldo_28.png,0.508284,0.521875,0.102
waldo_29.png,0.509766,0.51919,0.046
waldo_30.png,0.510094,0.518248,0.08
waldo_31.png,0.541944,0.590625,0.118
waldo_32.png,0.530749,0.659375,0.099
waldo_33.png,0.494688,0.689583,0.107
waldo_34.png,0.35762,0.677083,0.092
waldo_35.png,0.293253,0.6625,0.114
waldo_36.png,0.317708,0.735829,0.13
waldo_37.png,0.520212,0.763542,0.084
waldo_38.png,0.616566,0.75,0.122
waldo_39.png,0.631824,0.738542,0.118
waldo_40.png,0.639113,0.722917,0.319
